Gene.Name	Enhancer	enh.chr	enh.start	enh.end
Basp1	chr15:25916200..25916601	chr15	25845955	25846356
Batf2	chr19:5925501..5925902	chr19	5925501	5925902
Batf2	chr19:5929541..5929942	chr19	5929541	5929942
Batf2	chr19:5929998..5930399	chr19	5929998	5930399
Batf2	chr19:5931597..5931998	chr19	5931597	5931998
Batf2	chr19:5954593..5954994	chr19	5954593	5954994
Batf2	chr19:6277641..6278042	chr19	6277641	6278042
Batf2	chr19:6278067..6278468	chr19	6278067	6278468
Baz2b	chr2:60366231..60366632	chr2	60204288	60204689
BC016423	chr13:3636947..3637348	chr13	3636193	3636594
BC016423	chr13:5604202..5604603	chr13	5603448	5603849
BC016423	chr13:5776926..5777327	chr13	5776172	5776573
BC016423	chr13:5779366..5779767	chr13	5778612	5779013
BC016423	chr13:5785437..5785838	chr13	5784683	5785084
BC016423	chr13:5787095..5787496	chr13	5786341	5786742
BC016423	chr13:5789313..5789714	chr13	5788559	5788960
BC016423	chr13:5802211..5802612	chr13	5801457	5801858
BC016423	chr13:5802780..5803181	chr13	5802026	5802427
BC016423	chr13:5803606..5804007	chr13	5802852	5803253
BC016423	chr13:5828633..5829034	chr13	5827879	5828280
BC016423	chr13:5874698..5875099	chr13	5873944	5874345
BC016423	chr13:6193573..6193974	chr13	6192819	6193220
Bcor	chrX:12252877..12253278	chrX	11830003	11830404
Bcor	chrX:12453410..12453811	chrX	12030536	12030937
Bhlhe40	chr6:108571002..108571403	chr6	108520996	108521397
Bhlhe40	chr6:108668358..108668759	chr6	108618352	108618753
Bhlhe40	chr6:108687562..108687963	chr6	108637556	108637957
Bhlhe40	chr6:108688318..108688719	chr6	108638312	108638713
Bhlhe40	chr6:108709384..108709785	chr6	108659378	108659779
Bhlhe40	chr6:108740439..108740840	chr6	108690433	108690834
Bhlhe41	chr6:145802824..145803225	chr6	145751344	145751745
Bhlhe41	chr6:145919800..145920201	chr6	145868320	145868721
Bhlhe41	chr6:145977835..145978236	chr6	145926355	145926756
Bhlhe41	chr6:146014274..146014675	chr6	145962796	145963197
Bhlhe41	chr6:146114547..146114948	chr6	146063069	146063470
Bhlhe41	chr6:146221320..146221721	chr6	146169842	146170243
Birc6	chr17:74501038..74501439	chr17	74900378	74900779
Birc6	chr17:74523187..74523588	chr17	74922527	74922928
Blcap	chr2:156869628..156870029	chr2	156695364	156695765
Blcap	chr2:157200852..157201253	chr2	157026588	157026989
Blcap	chr2:157407585..157407986	chr2	157233321	157233722
Blcap	chr2:157428230..157428631	chr2	157253966	157254367
Braf	chr6:39780909..39781310	chr6	39730908	39731309
Bst1	chr5:43799516..43799917	chr5	44190755	44191156
Bst1	chr5:43807971..43808372	chr5	44199210	44199611
Bst1	chr5:43854090..43854491	chr5	44245329	44245730
Bst1	chr5:43855808..43856209	chr5	44247047	44247448
Bst1	chr5:43881862..43882263	chr5	44273101	44273502
Bzw1	chr1:58720014..58720415	chr1	58776858	58777259
Bzw1	chr1:58720963..58721364	chr1	58777807	58778208
Bzw1	chr1:58724022..58724423	chr1	58780866	58781267
Bzw2	chr12:36036644..36037045	chr12	36763231	36763632
C030046E11Rik	chr19:29150090..29150491	chr19	29224580	29224981
C030046E11Rik	chr19:29176475..29176876	chr19	29250965	29251366
C030046E11Rik	chr19:29463569..29463970	chr19	29538059	29538460
C030046E11Rik	chr19:29466721..29467122	chr19	29541211	29541612
C030046E11Rik	chr19:29468923..29469324	chr19	29543413	29543814
C030046E11Rik	chr19:29493287..29493688	chr19	29567777	29568178
C030046E11Rik	chr19:29496276..29496677	chr19	29570766	29571167
C030046E11Rik	chr19:29497156..29497557	chr19	29571646	29572047
C030046E11Rik	chr19:29499098..29499499	chr19	29573588	29573989
Cacna1b	chr2:24304532..24304933	chr2	24160052	24160453
Cacna1b	chr2:24341391..24341792	chr2	24196911	24197312
Cacna1b	chr2:24777363..24777764	chr2	24632883	24633284
Cblb	chr16:51933985..51934386	chr16	51934098	51934499
Ccdc25	chr14:66209248..66209649	chr14	66828085	66828486
Ccdc25	chr14:66223648..66224049	chr14	66842485	66842886
Ccdc25	chr14:66230223..66230624	chr14	66849060	66849461
Ccdc25	chr14:66231144..66231545	chr14	66849981	66850382
Ccdc25	chr14:66252458..66252859	chr14	66871295	66871696
Ccdc41	chr10:94047912..94048313	chr10	93510657	93511058
Ccdc41	chr10:94059627..94060028	chr10	93522372	93522773
Ccdc41	chr10:94358697..94359098	chr10	93821442	93821843
Ccdc41	chr10:94426325..94426726	chr10	93889070	93889471
Ccdc41	chr10:94538654..94539055	chr10	94001399	94001800
Ccdc41	chr10:94639273..94639674	chr10	94102018	94102419
Ccdc50	chr16:27348397..27348798	chr16	27348483	27348884
Ccdc50	chr16:27374102..27374503	chr16	27374188	27374589
Ccdc58	chr16:36626795..36627196	chr16	36626881	36627282
Ccdc86	chr19:10690456..10690857	chr19	10764946	10765347
Ccl2	chr11:82004698..82005099	chr11	81818200	81818601
Ccl2	chr11:82015108..82015509	chr11	81828610	81829011
Ccl2	chr11:82023795..82024196	chr11	81837297	81837698
Ccl3	chr11:83534208..83534609	chr11	83347710	83348111
Ccl3	chr11:83534669..83535070	chr11	83348171	83348572
Ccl3	chr11:83536277..83536678	chr11	83349779	83350180
Ccl3	chr11:83543929..83544330	chr11	83357431	83357832
Ccl3	chr11:83550341..83550742	chr11	83363843	83364244
Ccl3	chr11:83640781..83641182	chr11	83454283	83454684
Ccl3	chr11:83641143..83641544	chr11	83454645	83455046
Ccl3	chr11:83657408..83657809	chr11	83470910	83471311
Ccl4	chr11:83640781..83641182	chr11	83454283	83454684
Ccl4	chr11:83641143..83641544	chr11	83454645	83455046
Ccl4	chr11:83657408..83657809	chr11	83470910	83471311
Ccl7	chr11:82004698..82005099	chr11	81818200	81818601
Ccl7	chr11:82015108..82015509	chr11	81828610	81829011
Ccl7	chr11:82022608..82023009	chr11	81836110	81836511
Ccl7	chr11:82023795..82024196	chr11	81837297	81837698
Ccl9	chr11:83534208..83534609	chr11	83347710	83348111
Ccl9	chr11:83534669..83535070	chr11	83348171	83348572
Ccl9	chr11:83536277..83536678	chr11	83349779	83350180
Ccl9	chr11:83540918..83541319	chr11	83354420	83354821
Ccl9	chr11:83550341..83550742	chr11	83363843	83364244
Ccl9	chr11:83641143..83641544	chr11	83454645	83455046
Ccl9	chr11:83650775..83651176	chr11	83464277	83464678
Ccl9	chr11:83737235..83737636	chr11	83550737	83551138
Ccnf	chr17:24171771..24172172	chr17	24308716	24309117
Ccnl1	chr3:65434700..65435101	chr3	65238622	65239023
Ccnl1	chr3:65974667..65975068	chr3	65778589	65778990
Ccr1	chr9:121314861..121315262	chr9	121223979	121224380
Ccr1	chr9:121598097..121598498	chr9	121507215	121507616
Ccr1	chr9:121599516..121599917	chr9	121508634	121509035
Ccr1	chr9:121677711..121678112	chr9	121586829	121587230
Ccr1	chr9:123847537..123847938	chr9	123756658	123757059
Ccrl2	chr9:111062911..111063312	chr9	110965415	110965816
Ccrn4l	chr3:51333206..51333607	chr3	51137128	51137529
Ccrn4l	chr3:52198419..52198820	chr3	52002341	52002742
Cd14	chr18:36713377..36713778	chr18	36873031	36873432
Cd14	chr18:36723611..36724012	chr18	36883265	36883666
Cd14	chr18:36724318..36724719	chr18	36883972	36884373
Cd200	chr16:45375798..45376199	chr16	45375911	45376312
Cd274	chr19:29499098..29499499	chr19	29573588	29573989
Cd274	chr19:29500324..29500725	chr19	29574814	29575215
Cd38	chr5:43799516..43799917	chr5	44190755	44191156
Cd38	chr5:43854090..43854491	chr5	44245329	44245730
Cd38	chr5:43885022..43885423	chr5	44276261	44276662
Cd40	chr2:165042996..165043397	chr2	164868496	164868897
Cd44	chr2:101781230..101781631	chr2	101621387	101621788
Cd44	chr2:101830547..101830948	chr2	101670704	101671105
Cd44	chr2:102867245..102867646	chr2	102707402	102707803
Cd44	chr2:102980898..102981299	chr2	102821055	102821456
Cd53	chr3:106785141..106785542	chr3	106588059	106588460
Cd53	chr3:106788015..106788416	chr3	106590933	106591334
Cd53	chr3:106872883..106873284	chr3	106675801	106676202
Cd69	chr6:129171714..129172115	chr6	129121732	129122133
Cd83	chr13:43765148..43765549	chr13	43860517	43860918
Cd83	chr13:43767701..43768102	chr13	43863070	43863471
Cd83	chr13:43775211..43775612	chr13	43870580	43870981
Cd83	chr13:43777343..43777744	chr13	43872712	43873113
Cd83	chr13:43777883..43778284	chr13	43873252	43873653
Cd83	chr13:43779031..43779432	chr13	43874400	43874801
Cd83	chr13:43786523..43786924	chr13	43881892	43882293
Cd83	chr13:43787285..43787686	chr13	43882654	43883055
Cd83	chr13:43788997..43789398	chr13	43884366	43884767
Cd83	chr13:43789725..43790126	chr13	43885094	43885495
Cd83	chr13:44508026..44508427	chr13	44603395	44603796
Cd86	chr16:36476921..36477322	chr16	36477007	36477408
Cd86	chr16:36644332..36644733	chr16	36644418	36644819
Cd86	chr16:36711782..36712183	chr16	36711868	36712269
Cdkn1a	chr17:29056567..29056968	chr17	29193512	29193913
Cdkn1a	chr17:29076260..29076661	chr17	29213205	29213606
Cdkn1a	chr17:29080726..29081127	chr17	29217671	29218072
Cdkn1a	chr17:29081984..29082385	chr17	29218929	29219330
Cdkn1a	chr17:29392499..29392900	chr17	29529444	29529845
Cdkn1a	chr17:29396273..29396674	chr17	29533218	29533619
Cdkn1a	chr17:29396882..29397283	chr17	29533827	29534228
Cdkn1a	chr17:29399237..29399638	chr17	29536182	29536583
Cdkn1a	chr17:29414219..29414620	chr17	29551164	29551565
Cdkn1a	chr17:29434581..29434982	chr17	29571526	29571927
Cdkn1a	chr17:29439889..29440290	chr17	29576834	29577235
Cdkn1a	chr17:29441994..29442395	chr17	29578939	29579340
Cdyl2	chr8:115307467..115307868	chr8	117831367	117831768
Cdyl2	chr8:115420038..115420439	chr8	117943938	117944339
Cdyl2	chr8:115423146..115423547	chr8	117947046	117947447
Cdyl2	chr8:115423689..115424090	chr8	117947589	117947990
Cdyl2	chr8:115429521..115429922	chr8	117953421	117953822
Celf1	chr2:91084186..91084587	chr2	90924343	90924744
Celf1	chr2:91086328..91086729	chr2	90926485	90926886
Celf1	chr2:91100186..91100587	chr2	90940343	90940744
Celf1	chr2:91112452..91112853	chr2	90952609	90953010
Cenpc1	chr5:86068421..86068822	chr5	86497446	86497847
Cenpc1	chr5:86073550..86073951	chr5	86502575	86502976
Cenpc1	chr5:86074228..86074629	chr5	86503253	86503654
Cep85l	chr10:53285103..53285504	chr10	53004909	53005310
Cep85l	chr10:53467656..53468057	chr10	53187462	53187863
Cers6	chr2:68787264..68787665	chr2	68625321	68625722
Cers6	chr2:68793540..68793941	chr2	68631597	68631998
Cers6	chr2:68796033..68796434	chr2	68634090	68634491
Cers6	chr2:68797417..68797818	chr2	68635474	68635875
Cers6	chr2:68888057..68888458	chr2	68726114	68726515
Ch25h	chr19:34442107..34442508	chr19	34516597	34516998
Ch25h	chr19:34444780..34445181	chr19	34519270	34519671
Ch25h	chr19:34552856..34553257	chr19	34627346	34627747
Ch25h	chr19:34553508..34553909	chr19	34627998	34628399
Chd4	chr6:124903539..124903940	chr6	124853557	124853958
Chd4	chr6:124993307..124993708	chr6	124943325	124943726
Chd4	chr6:125092380..125092781	chr6	125042398	125042799
Chst11	chr10:82794923..82795324	chr10	82257668	82258069
Chst11	chr10:82923570..82923971	chr10	82386315	82386716
Chst11	chr10:83149653..83150054	chr10	82612398	82612799
Chst11	chr10:83353725..83354126	chr10	82816470	82816871
Cish	chr9:107306092..107306493	chr9	107208423	107208824
Cish	chr9:107312898..107313299	chr9	107215229	107215630
Clcf1	chr19:3359919..3360320	chr19	3359919	3360320
Clcf1	chr19:3847518..3847919	chr19	3847518	3847919
Clcf1	chr19:4260497..4260898	chr19	4260497	4260898
Clcn7	chr17:25140246..25140647	chr17	25277191	25277592
Clcn7	chr17:25140835..25141236	chr17	25277780	25278181
Clec4d	chr6:123208040..123208441	chr6	123158058	123158459
Clec4d	chr6:123265833..123266234	chr6	123215851	123216252
Clec4d	chr6:124078317..124078718	chr6	124028335	124028736
Clic4	chr4:135247257..135247658	chr4	134803172	134803573
Clic4	chr4:135269983..135270384	chr4	134825898	134826299
Clic4	chr4:135312667..135313068	chr4	134868582	134868983
Clic4	chr4:135313794..135314195	chr4	134869709	134870110
Clint1	chr11:44546193..44546594	chr11	44359695	44360096
Clint1	chr11:45852851..45853252	chr11	45666353	45666754
Clmp	chr9:40501457..40501858	chr9	40309042	40309443
Cln5	chr14:103012313..103012714	chr14	103411530	103411931
Cln5	chr14:103014778..103015179	chr14	103413995	103414396
Cln5	chr14:103015885..103016286	chr14	103415102	103415503
Cln5	chr14:103032817..103033218	chr14	103432034	103432435
Cln5	chr14:103033398..103033799	chr14	103432615	103433016
Cln5	chr14:103037012..103037413	chr14	103436229	103436630
Cln5	chr14:103039353..103039754	chr14	103438570	103438971
Cmpk2	chr12:26460124..26460525	chr12	27144989	27145390
Cnn3	chr3:121370388..121370789	chr3	121073306	121073707
Cnn3	chr3:121494022..121494423	chr3	121196940	121197341
Cnn3	chr3:121597129..121597530	chr3	121300047	121300448
Cnn3	chr3:121600401..121600802	chr3	121303319	121303720
Col27a1	chr4:63408741..63409142	chr4	63069775	63070176
Col27a1	chr4:63765053..63765454	chr4	63426087	63426488
Coq10b	chr1:53940260..53940661	chr1	53997104	53997505
Cpeb2	chr5:43185572..43185973	chr5	43576811	43577212
Cpeb4	chr11:31732293..31732694	chr11	31632293	31632694
Cpeb4	chr11:31732988..31733389	chr11	31632988	31633389
Cpeb4	chr11:31736087..31736488	chr11	31636087	31636488
Creb3l1	chr2:91972129..91972530	chr2	91812286	91812687
Creb3l1	chr2:92007917..92008318	chr2	91848074	91848475
Creb5	chr6:53376773..53377174	chr6	53326767	53327168
Creb5	chr6:53448178..53448579	chr6	53398172	53398573
Creb5	chr6:53626056..53626457	chr6	53576050	53576451
Crem	chr18:3274693..3275094	chr18	3274691	3275092
Crlf3	chr11:80145818..80146219	chr11	79959320	79959721
Crlf3	chr11:80147811..80148212	chr11	79961313	79961714
Crlf3	chr11:80155619..80156020	chr11	79969121	79969522
Crlf3	chr11:80163638..80164039	chr11	79977140	79977541
Crlf3	chr11:80168580..80168981	chr11	79982082	79982483
Crlf3	chr11:80169562..80169963	chr11	79983064	79983465
Crtc2	chr3:89733661..89734062	chr3	89537583	89537984
Csf2rb2	chr15:78270578..78270979	chr15	78101008	78101409
Csnk1g3	chr18:55197218..55197619	chr18	55356872	55357273
Csrp1	chr1:135813702..135814103	chr1	137710279	137710680
Cst7	chr2:150566964..150567365	chr2	150392700	150393101
Ctsc	chr7:88226097..88226498	chr7	95374607	95375008
Cxcl1	chr5:90700167..90700568	chr5	91129193	91129594
Cxcl1	chr5:90717911..90718312	chr5	91146937	91147338
Cxcl1	chr5:90859535..90859936	chr5	91288561	91288962
Cxcl1	chr5:90875989..90876390	chr5	91305015	91305416
Cxcl1	chr5:90880890..90881291	chr5	91309916	91310317
Cxcl1	chr5:90898618..90899019	chr5	91327644	91328045
Cxcl1	chr5:90900213..90900614	chr5	91329239	91329640
Cxcl1	chr5:90900701..90901102	chr5	91329727	91330128
Cxcl10	chr5:92353639..92354040	chr5	92782665	92783066
Cxcl10	chr5:92368373..92368774	chr5	92797399	92797800
Cxcl10	chr5:92369052..92369453	chr5	92798078	92798479
Cxcl10	chr5:92370332..92370733	chr5	92799358	92799759
Cxcl10	chr5:92374704..92375105	chr5	92803730	92804131
Cxcl11	chr5:92368373..92368774	chr5	92797399	92797800
